,libvirt_domain_block_stats_flush_requests_total,libvirt_domain_block_stats_flush_time_seconds_total,libvirt_domain_block_stats_read_bytes_total,libvirt_domain_block_stats_read_requests_total,libvirt_domain_block_stats_read_time_seconds_total,libvirt_domain_block_stats_write_bytes_total,libvirt_domain_block_stats_write_requests_total,libvirt_domain_block_stats_write_time_seconds_total,libvirt_domain_info_cpu_time_seconds_total,libvirt_domain_info_memory_usage_bytes,libvirt_domain_interface_stats_receive_bytes_total,libvirt_domain_interface_stats_receive_drops_total,libvirt_domain_interface_stats_receive_errors_total,libvirt_domain_interface_stats_receive_packets_total,libvirt_domain_interface_stats_transmit_bytes_total,libvirt_domain_interface_stats_transmit_drops_total,libvirt_domain_interface_stats_transmit_errors_total,libvirt_domain_interface_stats_transmit_packets_total ,libvirt_domain_memory_stats_disk_cache_bytes,libvirt_domain_memory_stats_major_fault_total,libvirt_domain_memory_stats_minor_fault_total,libvirt_domain_memory_stats_rss_bytes,libvirt_domain_memory_stats_unused_bytes,libvirt_domain_memory_stats_usable_bytes,libvirt_domain_memory_stats_used_percent,libvirt_domain_vcpu_cpu,libvirt_domain_vcpu_time_seconds_total
0,12795333.0,108.657230136,991900672.0,57447.0,241.106176817,5306204160.0,103914.0,1628.634323082,12148.68,1073741824.0,211386546.0,0.0,0.0,89488.0,6980826.0,0.0,0.0,77323.0,0.0,2237.0,79236556.0,1179594752.0,330895360.0,617164800.0,40.238925312042646,16.0,1303.35
1,14205545.0,119.608579797,991900672.0,57447.0,241.106176817,5306204160.0,103914.0,1628.634323082,12297.25,1073741824.0,211387452.0,0.0,0.0,89505.0,6981732.0,0.0,0.0,77340.0,0.0,2237.0,86453119.0,1179594752.0,299692032.0,585961472.0,43.26039448060318,1.0,1363.1
2,15697524.0,130.848283625,991900672.0,57447.0,241.106176817,5306204160.0,103914.0,1628.634323082,12446.75,1073741824.0,211388482.0,0.0,0.0,89524.0,6982758.0,0.0,0.0,77359.0,0.0,2237.0,93442301.0,1179594752.0,394670080.0,680939520.0,34.06351510536273,2.0,1422.83
3,17174938.0,141.864201011,991900672.0,57447.0,241.106176817,5306204160.0,103914.0,1628.634323082,12595.66,1073741824.0,211389446.0,0.0,0.0,89542.0,6983722.0,0.0,0.0,77377.0,0.0,2237.0,100988930.0,1179594752.0,353816576.0,640086016.0,38.019426563386205,29.0,1482.58
4,18705851.0,153.413955478,991900672.0,57447.0,241.106176817,5306204160.0,103914.0,1628.634323082,12745.76,1073741824.0,211390360.0,0.0,0.0,89559.0,6984636.0,0.0,0.0,77394.0,0.0,2237.0,108298535.0,1179594752.0,344199168.0,630468608.0,38.95069587393755,12.0,1542.32
5,20202722.0,165.192417432,991900672.0,57447.0,241.106176817,5306204160.0,103914.0,1628.634323082,12896.32,1073741824.0,211391490.0,0.0,0.0,89580.0,6985716.0,0.0,0.0,77414.0,0.0,2237.0,115446007.0,1179594752.0,327725056.0,613994496.0,40.545911021738874,6.0,1602.06
6,21613062.0,176.14277128,1166836736.0,58853.0,248.911275708,5401055232.0,104642.0,1643.103274456,13044.85,1073741824.0,211661573.0,0.0,0.0,89771.0,6998441.0,0.0,0.0,77560.0,0.0,2258.0,122552693.0,1179594752.0,152600576.0,569434112.0,44.86076571913584,20.0,1661.81
7,23160389.0,187.703777297,1166836736.0,58853.0,248.911275708,5401489408.0,104732.0,1644.286618427,13195.27,1073741824.0,211664572.0,0.0,0.0,89805.0,7002473.0,0.0,0.0,77593.0,0.0,2258.0,129218032.0,1179594752.0,236027904.0,652894208.0,36.779188431318886,17.0,1721.57
8,24658379.0,199.110538589,1166836736.0,58853.0,248.911275708,5401489408.0,104732.0,1644.286618427,13345.12,1073741824.0,211665286.0,0.0,0.0,89818.0,7003183.0,0.0,0.0,77606.0,0.0,2258.0,135609640.0,1179594752.0,228315136.0,645181440.0,37.52602834263413,12.0,1781.31
9,26116624.0,210.055306388,1166836736.0,58853.0,248.911275708,5401489408.0,104732.0,1644.286618427,13494.09,1073741824.0,211666362.0,0.0,0.0,89838.0,7004255.0,0.0,0.0,77626.0,0.0,2258.0,142410804.0,1179594752.0,288153600.0,705019904.0,31.73177222770883,4.0,1841.02
10,27655236.0,221.545227531,1166836736.0,58853.0,248.911275708,5401489408.0,104732.0,1644.286618427,13644.41,1073741824.0,211667474.0,0.0,0.0,89858.0,7005331.0,0.0,0.0,77646.0,0.0,2258.0,149221161.0,1179594752.0,175939584.0,592805888.0,42.59763851044505,2.0,1900.74
11,29224911.0,233.304762059,1166836736.0,58853.0,248.911275708,5401526272.0,104739.0,1644.400953902,13795.58,1073741824.0,211668332.0,0.0,0.0,89873.0,7006185.0,0.0,0.0,77661.0,0.0,2258.0,155568945.0,1179594752.0,348024832.0,764907520.0,25.932756644416152,12.0,1960.54
12,30807160.0,245.175808071,1166836736.0,58853.0,248.911275708,5401526272.0,104739.0,1644.400953902,13946.75,1073741824.0,211669292.0,0.0,0.0,89891.0,7007145.0,0.0,0.0,77679.0,0.0,2258.0,162215993.0,1179594752.0,233480192.0,650362880.0,37.02430105223913,12.0,2020.25
13,32308194.0,256.480591905,1166836736.0,58853.0,248.911275708,5401526272.0,104739.0,1644.400953902,14096.69,1073741824.0,211670398.0,0.0,0.0,89908.0,7008279.0,0.0,0.0,77696.0,0.0,2258.0,168639007.0,1179594752.0,231227392.0,648110080.0,37.24244335241087,6.0,2080.02
14,33816594.0,267.647847575,1166836736.0,58853.0,248.911275708,5401526272.0,104739.0,1644.400953902,14246.18,1073741824.0,211671220.0,0.0,0.0,89923.0,7009097.0,0.0,0.0,77711.0,0.0,2258.0,175684607.0,1179594752.0,134090752.0,550973440.0,46.648342713452244,2.0,2139.72
15,35305793.0,278.649649192,1166836736.0,58853.0,248.911275708,5401526272.0,104739.0,1644.400953902,14395.25,1073741824.0,211672054.0,0.0,0.0,89938.0,7009911.0,0.0,0.0,77726.0,0.0,2258.0,182395160.0,1179594752.0,257449984.0,674332672.0,34.70326697841185,12.0,2199.47
16,36982777.0,291.091331687,1166836736.0,58853.0,248.911275708,5401526272.0,104739.0,1644.400953902,14548.03,1073741824.0,211672656.0,0.0,0.0,89949.0,7010513.0,0.0,0.0,77737.0,0.0,2258.0,189297891.0,1179594752.0,169836544.0,586719232.0,43.18701934327269,14.0,2259.23
17,38555762.0,303.017043786,1166836736.0,58853.0,248.911275708,5401526272.0,104739.0,1644.400953902,14699.27,1073741824.0,211673942.0,0.0,0.0,89972.0,7011763.0,0.0,0.0,77760.0,0.0,2258.0,195835093.0,1179594752.0,236658688.0,653541376.0,36.71652209781501,14.0,2318.98
